Code,Price,Cost,Product Variants Separated by |
U90-26263-Int-5GL ,18,17.5,
U90-27083-Ext-1GL ,8.5,7.88,
U90-27083-Ext-5GL ,30,29.5,
U90-27084-Ext-1GL ,7.5,6.88,
U90-27084-Ext-5GL ,30,29.5,
U90-27108-Ext-1GL ,7.5,6.88,
U90-27108-Ext-5GL ,25,24.5,
U90-27108-Int-1GL ,6.5,5.88,
U90-27108-Int-5GL ,18,17.5,
U90-27109-Ext-1GL ,7.5,6.88,
U90-27109-Ext-5GL ,25,24.5,
U90-27109-Int-1GL ,6.5,5.88,
U90-27109-Int-5GL ,18,17.5,
U90-322-Ext-1GL ,8.5,7.88,
U90-322-Ext-5GL ,30,29.5,
U90-964-Ext-1GL ,8.5,7.88,
U90-964-Ext-5GL ,30,29.5,
